Name, Didn't do, Added, Processed, Pushed
Adafruit_CircuitPython_LSM303AGR_Mag,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_LSM303AGR_Mag
Adafruit_CircuitPython_LSM303DLH_Mag,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_LSM303DLH_Mag
Adafruit_CircuitPython_LSM6DSOX,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_LSM6DSOX
Adafruit_CircuitPython_LSM9DS0,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_LSM9DS0
Adafruit_CircuitPython_LSM9DS1,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_LSM9DS1
Adafruit_CircuitPython_MatrixKeypad,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MatrixKeypad
Adafruit_CircuitPython_MAX31855,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MAX31855
Adafruit_CircuitPython_MAX31856,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MAX31856
Adafruit_CircuitPython_MAX31865,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MAX31865
Adafruit_CircuitPython_MAX7219,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MAX7219
Adafruit_CircuitPython_MAX9744,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MAX9744
Adafruit_CircuitPython_MCP230xx,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MCP230xx
Adafruit_CircuitPython_MCP3xxx,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MCP3xxx
Adafruit_CircuitPython_MCP4725,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MCP4725
Adafruit_CircuitPython_MCP4728,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MCP4728
Adafruit_CircuitPython_MCP9600,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MCP9600
Adafruit_CircuitPython_MCP9808,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MCP9808
Adafruit_CircuitPython_MIDI,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MIDI
Adafruit_CircuitPython_miniesptool,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_miniesptool
Adafruit_CircuitPython_MiniMQTT,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MiniMQTT
Adafruit_CircuitPython_miniQR,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_miniQR
Adafruit_CircuitPython_MLX90393,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MLX90393
Adafruit_CircuitPython_MLX90614,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MLX90614
Adafruit_CircuitPython_MLX90640,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MLX90640
Adafruit_CircuitPython_MMA8451,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MMA8451
Adafruit_CircuitPython_Motor,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Motor
Adafruit_CircuitPython_MotorKit,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MotorKit
Adafruit_CircuitPython_MPL115A2,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MPL115A2
Adafruit_CircuitPython_MPL3115A2,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MPL3115A2
Adafruit_CircuitPython_MPR121,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MPR121
Adafruit_CircuitPython_MPRLS,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MPRLS
Adafruit_CircuitPython_MPU6050,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MPU6050
Adafruit_CircuitPython_MSA301,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_MSA301
Adafruit_CircuitPython_NeoPixel,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_NeoPixel
Adafruit_CircuitPython_NeoPixel_SPI,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_NeoPixel_SPI
Adafruit_CircuitPython_NeoTrellis,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_NeoTrellis
Adafruit_CircuitPython_NTP,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_NTP
Adafruit_CircuitPython_Nunchuk,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Nunchuk
Adafruit_CircuitPython_OneWire,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_OneWire
Adafruit_CircuitPython_PCA9685,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_PCA9685
Adafruit_CircuitPython_PCD8544,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_PCD8544
